election_type,province_number,province,district,subdistrict,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,party,votes
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,460,697,ก้าวไกล,177
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,201,258,ก้าวไกล,43
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,333,555,ก้าวไกล,136
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,233,335,ก้าวไกล,42
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,473,592,ก้าวไกล,150
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,แม่อาย,120,167,ก้าวไกล,19
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,743,1004,ก้าวไกล,253
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,692,1011,ก้าวไกล,291
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,752,1018,ก้าวไกล,287
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,578,749,ก้าวไกล,239
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,242,333,ก้าวไกล,93
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,379,479,ก้าวไกล,111
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,517,674,ก้าวไกล,203
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,411,608,ก้าวไกล,163
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,ปงตำ,135,186,ก้าวไกล,36
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,529,657,ก้าวไกล,181
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,469,605,ก้าวไกล,149
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,470,578,ก้าวไกล,130
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,730,968,ก้าวไกล,223
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,535,684,ก้าวไกล,115
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,447,554,ก้าวไกล,156
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,363,460,ก้าวไกล,141
บัญชีรายชื่อ,7,เชียงใหม่,ไชยปราการ,แม่ทะลบ,388,509,ก้าวไกล,56
