election_type,province_number,province,district,subdistrict,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,party,votes
สส เขต,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,170,230,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,287,404,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,462,522,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,212,287,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,270,361,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,406,530,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,222,288,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,520,782,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,262,355,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,412,577,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,302,421,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,336,445,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,418,556,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,327,441,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,194,275,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,387,501,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,557,763,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,418,519,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,527,752,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,656,901,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่นาวาง,131,167,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,255,375,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,520,726,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,428,537,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,163,202,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,244,307,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,370,463,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,638,926,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,283,397,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,285,345,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,433,560,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,383,458,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,226,342,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,414,540,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,698,926,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,236,292,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,346,436,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่สาว,153,199,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,แม่อาย,427,565,กรีน,0
